close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
117.65,118.27,116.73,116.8,21642299,117.65,118.27,116.73,116.8,21642299,0.0,1.0
116.81,117.49,115.88,117.05,20544109,116.81,117.49,115.88,117.05,20544109,0.0,1.0
117.35,117.99,116.95,116.96,18944831,117.35,117.99,116.95,116.96,18944831,0.0,1.0
115.97,117.6,115.94,117.42,20441004,115.97,117.6,115.94,117.42,20441004,0.0,1.0
117.7,117.73,116.12,116.24,20183627,117.7,117.73,116.12,116.24,20183627,0.0,1.0
117.89,118.665,117.38,118.13,20035494,117.89,118.665,117.38,118.13,20035494,0.0,1.0
119.47,119.7601,117.92,118.24,18481340,119.47,119.7601,117.92,118.24,18481340,0.0,1.0
119.38,119.85,119.01,119.56,13493563,119.38,119.85,119.01,119.56,13493563,0.0,1.0
118.81,120.1,118.121,119.46,23547597,118.81,120.1,118.121,119.46,23547597,0.0,1.0
118.78,119.08,117.82,118.5,15029494,118.78,119.08,117.82,118.5,15029494,0.0,1.0
118.93,119.44,118.22,118.69,13228310,118.93,119.44,118.22,118.69,13228310,0.0,1.0
118.47,118.98,117.86,118.975,14135114,118.47,118.98,117.86,118.975,14135114,0.0,1.0
118.79,119.43,118.36,118.62,12744676,118.79,119.43,118.36,118.62,12744676,0.0,1.0
117.76,119.3,117.67,119.24,17103023,117.76,119.3,117.67,119.24,17103023,0.0,1.0
118.39,118.6,117.27,117.76,14505596,118.39,118.6,117.27,117.76,14505596,0.0,1.0
118.56,118.68,117.71,118.13,13859240,118.56,118.68,117.71,118.13,13859240,0.0,1.0
116.62,118.11,116.26,117.54,18510826,116.62,118.11,116.26,117.54,18510826,0.0,1.0
113.95,115.48,113.31,115.0,31718239,113.95,115.48,113.31,115.0,31718239,0.0,1.0
114.94,114.95,113.58,114.07,17618479,114.94,114.95,113.58,114.07,17618479,0.0,1.0
114.6,115.44,114.07,115.3,19819432,114.6,115.44,114.07,115.3,19819432,0.0,1.0
114.39,114.5,112.94,113.87,19236255,114.39,114.5,112.94,113.87,19236255,0.0,1.0
113.02,114.43,112.56,114.42,24644308,113.02,114.43,112.56,114.42,24644308,0.0,1.0
113.37,114.72,112.75,113.77,20785390,113.37,114.72,112.75,113.77,20785390,0.0,1.0
114.38,115.2142,113.97,114.12,19166269,114.38,115.2142,113.97,114.12,19166269,0.0,1.0
113.91,114.74,113.61,114.65,14846329,113.91,114.74,113.61,114.65,14846329,0.0,1.0
115.08,115.09,113.54,114.37,16176895,115.08,115.09,113.54,114.37,16176895,0.0,1.0
112.08,113.68,111.0,111.01,40643130,112.08,113.68,111.0,111.01,40643130,0.0,1.0
108.97,111.57,108.23,111.57,36409606,108.97,111.57,108.23,111.57,36409606,0.0,1.0
112.7,112.75,110.55,110.63,26813842,112.7,112.75,110.55,110.63,26813842,0.0,1.0
114.16,114.25,113.04,113.37,20968273,114.16,114.25,113.04,113.37,20968273,0.0,1.0
114.28,115.18,113.67,114.67,23192716,114.28,115.18,113.67,114.67,23192716,0.0,1.0
114.19,115.13,113.81,114.2,14980023,114.19,115.13,113.81,114.2,14980023,0.0,1.0
114.0,114.11,112.97,113.94,14207037,114.0,114.11,112.97,113.94,14207037,0.0,1.0
116.7,116.79,112.97,113.36,24337586,116.7,116.79,112.97,113.36,24337586,0.0,1.0
115.85,116.97,115.36,116.63,16630201,115.85,116.97,115.36,116.63,16630201,0.0,1.0
117.24,117.5,115.85,116.43,18142597,117.24,117.5,115.85,116.43,18142597,0.0,1.0
117.87,118.7,117.5,117.71,17711570,117.87,118.7,117.5,117.71,17711570,0.0,1.0
117.93,118.72,117.57,118.63,15217700,117.93,118.72,117.57,118.63,15217700,0.0,1.0
116.78,118.4,116.68,118.39,16207662,116.78,118.4,116.68,118.39,16207662,0.0,1.0
117.29,117.64,116.7,117.5,14579736,117.29,117.64,116.7,117.5,14579736,0.0,1.0
116.86,118.28,116.58,117.74,16645964,116.86,118.28,116.58,117.74,16645964,0.0,1.0
119.37,119.61,116.89,117.32,20868367,119.37,119.61,116.89,117.32,20868367,0.0,1.0
120.61,120.85,118.66,118.99,21541292,120.61,120.85,118.66,118.99,21541292,0.0,1.0
121.92,122.2,120.56,121.25,20046452,121.92,122.2,120.56,121.25,20046452,0.0,1.0
120.61,122.1,120.25,121.92,17801663,120.61,122.1,120.25,121.92,17801663,0.0,1.0
121.0,121.01,119.31,119.9,18422410,121.0,121.01,119.31,119.9,18422410,0.0,1.0
121.63,121.85,117.78,121.39,18487449,121.63,121.85,117.78,121.39,18487449,0.0,1.0
121.22,122.07,120.75,122.0,17611964,121.22,122.07,120.75,122.0,17611964,0.0,1.0
123.34,125.0,121.51,122.42,52654239,123.34,125.0,121.51,122.42,52654239,0.0,1.0
125.0,128.33,123.63,127.52,78955758,125.0,128.33,123.63,127.52,78955758,0.0,1.0
123.94,125.84,123.71,124.65,35058803,123.94,125.84,123.71,124.65,35058803,0.0,1.0
124.31,124.58,122.86,123.85,25006850,124.31,124.58,122.86,123.85,25006850,0.0,1.0
123.09,124.8,122.07,124.06,23968414,123.09,124.8,122.07,124.06,23968414,0.0,1.0
122.51,123.92,122.31,123.09,18525332,122.51,123.92,122.31,123.09,18525332,0.0,1.0
124.36,124.79,122.51,122.94,21065974,124.36,124.79,122.51,122.94,21065974,0.0,1.0
125.15,125.835,124.6184,124.98,20184035,125.15,125.835,124.6184,124.98,20184035,0.0,1.0
125.26,125.45,124.55,125.25,15233929,125.26,125.45,124.55,125.25,15233929,0.0,1.0
125.06,126.09,124.53,125.34,19620967,125.06,126.09,124.53,125.34,19620967,0.0,1.0
124.88,125.48,124.54,125.07,10670148,124.88,125.48,124.54,125.07,10670148,0.0,1.0
124.9,125.38,124.75,125.2,11729519,124.9,125.38,124.75,125.2,11729519,0.0,1.0
124.88,125.0,124.18,124.7,12158955,124.88,125.0,124.18,124.7,12158955,0.0,1.0
123.9,124.92,123.7,124.91,19295130,123.9,124.92,123.7,124.91,19295130,0.0,1.0
123.3,123.92,122.78,123.5,14222410,123.3,123.92,122.78,123.5,14222410,0.0,1.0
124.37,124.38,122.85,123.66,13794179,124.37,124.38,122.85,123.66,13794179,0.0,1.0
123.91,124.26,123.64,124.01,12400816,123.91,124.26,123.64,124.01,12400816,0.0,1.0
123.56,124.157,123.28,123.6,11688265,123.56,124.157,123.28,123.6,11688265,0.0,1.0
124.15,124.83,123.11,123.33,14386361,124.15,124.83,123.11,123.33,14386361,0.0,1.0
124.37,125.09,124.25,124.51,13309452,124.37,125.09,124.25,124.51,13309452,0.0,1.0
123.48,124.69,123.09,124.47,12243719,123.48,124.69,123.09,124.47,12243719,0.0,1.0
123.89,124.37,123.1,123.12,10730811,123.89,124.37,123.1,123.12,10730811,0.0,1.0
124.96,125.19,123.91,124.05,17504825,124.96,125.19,123.91,124.05,17504825,0.0,1.0
126.54,126.73,124.35,124.35,15925900,126.54,126.73,124.35,124.35,15925900,0.0,1.0
